🇨🇳 央视,#genre#
CCTV-1,http://www.ye28.eu.org:7777/udp/239.77.0.119:5146
CCTV-1,http://www.ye28.eu.org:7777/udp/239.77.0.129:5146
CCTV-1,http://www.ye28.eu.org:7777/udp/239.77.0.241:5146
CCTV-1,http://www.ye28.eu.org:7777/udp/239.77.0.30:5146
CCTV-1,http://www.ye28.eu.org:7777/udp/239.77.0.86:5146
CCTV-1,http://www.ye28.eu.org:7777/udp/239.77.1.144:5146
CCTV-1,http://www.ye28.eu.org:7777/udp/239.77.1.17:5146
CCTV-1,http://www.ye28.eu.org:7777/udp/239.77.1.20:5146
CCTV-1,http://xxy.x3322.net:4022/rtp/239.77.0.129:5146
CCTV-1,http://xxy.x3322.net:4022/rtp/239.77.0.241:5146
CCTV-1,http://xxy.x3322.net:4022/rtp/239.77.0.30:5146
CCTV-1,http://xxy.x3322.net:4022/rtp/239.77.0.86:5146
CCTV-1,http://xxy.x3322.net:4022/rtp/239.77.1.144:5146
CCTV-1,http://xxy.x3322.net:4022/rtp/239.77.1.17:5146
CCTV-1,http://xxy.x3322.net:4022/rtp/239.77.1.20:5146
CCTV-10,http://www.ye28.eu.org:7777/udp/239.77.0.134:5146
CCTV-10,http://www.ye28.eu.org:7777/udp/239.77.0.39:5146
CCTV-10,http://www.ye28.eu.org:7777/udp/239.77.1.113:5146
CCTV-10,http://www.ye28.eu.org:7777/udp/239.77.1.169:5146
CCTV-10,http://www.ye28.eu.org:7777/udp/239.77.1.25:5146
CCTV-10,http://xxy.x3322.net:4022/rtp/239.77.0.134:5146
CCTV-10,http://xxy.x3322.net:4022/rtp/239.77.0.39:5146
CCTV-10,http://xxy.x3322.net:4022/rtp/239.77.1.113:5146
CCTV-10,http://xxy.x3322.net:4022/rtp/239.77.1.169:5146
CCTV-10,http://xxy.x3322.net:4022/rtp/239.77.1.25:5146
CCTV-11,http://www.ye28.eu.org:7777/udp/239.77.0.40:5146
CCTV-11,http://www.ye28.eu.org:7777/udp/239.77.1.238:5146
CCTV-11,http://www.ye28.eu.org:7777/udp/239.77.1.42:5146
CCTV-11,http://xxy.x3322.net:4022/rtp/239.77.0.40:5146
CCTV-11,http://xxy.x3322.net:4022/rtp/239.77.1.238:5146
CCTV-11,http://xxy.x3322.net:4022/rtp/239.77.1.42:5146
CCTV-12,http://www.ye28.eu.org:7777/udp/239.77.0.136:5146
CCTV-12,http://www.ye28.eu.org:7777/udp/239.77.0.41:5146
CCTV-12,http://www.ye28.eu.org:7777/udp/239.77.1.109:5146
CCTV-12,http://www.ye28.eu.org:7777/udp/239.77.1.10:5146
CCTV-12,http://www.ye28.eu.org:7777/udp/239.77.1.170:5146
CCTV-12,http://xxy.x3322.net:4022/rtp/239.77.0.136:5146
CCTV-12,http://xxy.x3322.net:4022/rtp/239.77.0.41:5146
CCTV-12,http://xxy.x3322.net:4022/rtp/239.77.1.109:5146
CCTV-12,http://xxy.x3322.net:4022/rtp/239.77.1.10:5146
CCTV-12,http://xxy.x3322.net:4022/rtp/239.77.1.170:5146
CCTV-13,http://www.ye28.eu.org:7777/udp/239.253.43.196:5146
CCTV-13,http://www.ye28.eu.org:7777/udp/239.77.0.188:5146
CCTV-13,http://www.ye28.eu.org:7777/udp/239.77.0.42:5146
CCTV-13,http://www.ye28.eu.org:7777/udp/239.77.1.26:5146
CCTV-13,http://xxy.x3322.net:4022/rtp/239.253.43.196:5146
CCTV-13,http://xxy.x3322.net:4022/rtp/239.77.0.188:5146
CCTV-13,http://xxy.x3322.net:4022/rtp/239.77.0.42:5146
CCTV-13,http://xxy.x3322.net:4022/rtp/239.77.1.26:5146
CCTV-14,http://www.ye28.eu.org:7777/udp/239.77.0.133:5146
CCTV-14,http://www.ye28.eu.org:7777/udp/239.77.0.43:5146
CCTV-14,http://www.ye28.eu.org:7777/udp/239.77.1.161:5146
CCTV-14,http://www.ye28.eu.org:7777/udp/239.77.1.171:5146
CCTV-14,http://www.ye28.eu.org:7777/udp/239.77.1.43:5146
CCTV-14,http://xxy.x3322.net:4022/rtp/239.77.0.133:5146
CCTV-14,http://xxy.x3322.net:4022/rtp/239.77.0.43:5146
CCTV-14,http://xxy.x3322.net:4022/rtp/239.77.1.161:5146
CCTV-14,http://xxy.x3322.net:4022/rtp/239.77.1.171:5146
CCTV-14,http://xxy.x3322.net:4022/rtp/239.77.1.43:5146
